,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
1328,440007,369061,368918,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,POPP,#N\A,,,,,,1,M,Main sub network,6.28154909,10.10919355,Active,Union Pacific,66,UP,F,"LINESTRING (-95.39695300999993 29.669743382000025, -95.40107795199997 29.659357615000044, -95.40177999899997 29.657589999000045, -95.40185000099996 29.657430001000026, -95.40361082999998 29.652991744000065, -95.40508814999998 29.64926808600005, -95.40768999999995 29.642709999000026, -95.40773999999999 29.642540000000057, -95.410449999 29.63578000100005, -95.41092956699997 29.634651021000003, -95.41093000099995 29.634649999000036, -95.41465999899997 29.625270001000036, -95.41656454399997 29.620422070000064, -95.41708000099999 29.61911000000004, -95.41874999999997 29.614900000000027, -95.41922000099999 29.613710000000022, -95.41927999999996 29.613570000000042, -95.42218999899994 29.606340000000053, -95.42274439899994 29.604947401000057, -95.42302999999998 29.60423000000003, -95.42519 29.599090000000032, -95.42587000099995 29.597490000000047, -95.42594999999994 29.597210000000086, -95.42597999999998 29.597110001000033, -95.42610999999994 29.596779999000045, -95.42657999899996 29.595500000000072, -95.42740252199995 29.593292799000043, -95.42797000099993 29.591769999000057, -95.42948999899994 29.587889999000033, -95.43036000099994 29.585780000000053, -95.43099000099993 29.584119999000038, -95.43111589999995 29.583822400000038, -95.43119397999997 29.583637862000046, -95.43120999999996 29.583599999000068)"
1457,440641,370728,370665,48,TX,339,48339,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,3.6824845,5.92639619,Active,Union Pacific,66,UP,F,"LINESTRING (-95.21158246299996 30.15383949500007, -95.21289141199998 30.15006048900006, -95.21565504199997 30.142081746000034, -95.21789798999998 30.13560623300002, -95.22130636999998 30.125766060000043, -95.22179612199993 30.124352121000065, -95.22252378899996 30.12225131100006, -95.22607699899997 30.111992999000037, -95.22692505699996 30.109551757000062, -95.22930269399994 30.10270743100006, -95.22932236099994 30.10265081900006)"
1488,440715,370182,370177,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,SETTEGAST,,,,,1,M,Main sub network,0.11183658,0.1799839,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28838532999998 29.83065789700003, -95.28852509999994 29.829038800000035)"
1489,440716,370181,370182,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,SETTEGAST,,,,,1,M,Main sub network,0.05498744,0.08849388,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28841511199992 29.831455730000076, -95.28841131099995 29.831333375000035, -95.28839794599998 29.83090301900004, -95.28839399999997 29.830776000000068, -95.28838532999998 29.83065789700003)"
1990,442335,370051,370203,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,CARNEGIE DISTRICT,SOUTH SIDE MAIN,,,,,,1,M,Main sub network,0.45230983,0.72792357,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29246211099996 29.75563143200003, -95.29235784099995 29.75556306100003, -95.29179978299997 29.755197121000045, -95.28650082199992 29.751623296000034)"
1991,442337,369988,370015,48,TX,201,48201,TX,5,District: 5,PTRA,,,BNSF,UP,,,,,,,,,CTC DISTRICT,,NORTH,,,,,1,M,Main sub network,0.05219073,0.083993,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29331329299997 29.756454480000055, -95.29309656399992 29.756065733000053, -95.29307839599994 29.75603314400006, -95.29293341699997 29.75577309600005)"
2060,442415,369720,369748,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BOOTH YARD INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.11390709,0.18331606,Active,Union Pacific,66,UP,F,"LINESTRING (-95.31288768999995 29.739229510000015, -95.31268164199997 29.739408063000013, -95.31248489999996 29.739483925000055, -95.31239095099994 29.739520152000054, -95.31203644499999 29.73953517800003, -95.31171000099992 29.73946859900007, -95.31115433099994 29.739278956000074)"
2155,442989,370535,370620,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,PASADENA DISTRICT,SOUTH SIDE,,,,,,1,M,Main sub network,0.95645947,1.53927538,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.25232809899994 29.711824647000068, -95.25182706499999 29.711652248000057, -95.25119673199998 29.711544499000077, -95.25073341099994 29.71153911300005, -95.25005459099997 29.71159837400005, -95.24723717399995 29.71196926000005, -95.24199000099996 29.712659999000046, -95.24114999999993 29.712780001000052, -95.24068638899995 29.71288199500003, -95.24065000099996 29.712889999000012, -95.24015999899996 29.71306000000004, -95.23969999999997 29.713290000000022, -95.23929999999996 29.713619999000056, -95.23876999999997 29.71411000000005, -95.23813600199999 29.714837299000077, -95.23772999999993 29.715260000000058)"
2156,442990,370502,370535,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,PASADENA DISTRICT,SOUTH SIDE,,,,,,1,M,Main sub network,0.27578241,0.44382966,Active,Port Terminal Railroad Association,12,PTRA,F,"MULTILINESTRING ((-95.25661630999996 29.71324369000005, -95.25554614676791 29.7128599774681), (-95.25504351116162 29.712706171358416, -95.25499464999997 29.71269151300004, -95.25468314899996 29.712590913000028, -95.25289916799994 29.712013208000016, -95.25232809899994 29.711824647000068))"
2157,442991,370478,370502,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,PASADENA DISTRICT,SOUTH SIDE,MANCHESTER,,,,,1,M,Main sub network,0.29830419,0.48007502,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.26129219999996 29.714688900000052, -95.26111992699998 29.71462900000005, -95.26026000099995 29.71433000000007, -95.26004089999998 29.714264700000054, -95.25668088499998 29.713262942000025, -95.25661630999996 29.71324369000005)"
2158,442992,370408,370478,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,PASADENA DISTRICT,SOUTH SIDE,MANCHESTER,,,,,1,M,Main sub network,0.40745167,0.65573121,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.26762526199997 29.716787609000043, -95.26745143399995 29.71673869900006, -95.26675301499995 29.716542181000086, -95.26624686999996 29.716399766000038, -95.26606999899997 29.71635000000004, -95.26545289999996 29.716135500000064, -95.26129219999996 29.714688900000052)"
2176,443027,370451,370505,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,BAYTOWN,#N\A,M-K,,,,,1,M,Main sub network,0.46720919,0.75190181,Active,Union Pacific,66,UP,F,"LINESTRING (-95.26404982299994 29.76832595400004, -95.25957933099994 29.76838131000005, -95.25893822399996 29.76837053500003, -95.25766678399997 29.76819813700007, -95.25631833699998 29.76795923900005)"
2177,443028,370680,370711,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,CLINTON INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,1.01884707,1.63967869,Active,Union Pacific,66,UP,F,"LINESTRING (-95.22589556199993 29.73031406700006, -95.22520383199998 29.730337335000037, -95.22519294699997 29.73033770000006, -95.22262242099997 29.730439477000065, -95.22202242099995 29.730439476000072, -95.22165377499992 29.730515017000073, -95.22118829899995 29.730747755000035, -95.22079178199999 29.73110979300003, -95.22030972999993 29.731303719000046, -95.22028494599995 29.731313689000032, -95.21977462999995 29.731359770000036, -95.21689865199994 29.73143753400005, -95.21689294499997 29.731437688000035, -95.21650767499995 29.731523549000034, -95.21625769699995 29.73173042800006, -95.21610253799996 29.731954546000047, -95.21606805799996 29.73217866300007, -95.21609294599995 29.732637675000028, -95.21609310199993 29.73274138500005, -95.21609391799997 29.733282015000032, -95.21612839799997 29.73408366900003, -95.21616608699998 29.737003268000016, -95.21617507999997 29.737699997000053)"
2178,443029,370548,370770,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,BAYTOWN,#N\A,,,,,,1,M,Main sub network,2.93204211,4.71867381,Active,Union Pacific,66,UP,F,"LINESTRING (-95.25096978299996 29.76719625100002, -95.25015666599995 29.76717990700006, -95.24951372699996 29.767209993000062, -95.24714507499999 29.767239168000053, -95.24508167899995 29.767276881000043, -95.24348815099995 29.767297769000038, -95.24195695299993 29.76732536800005, -95.24016831699997 29.767346918000026, -95.23871370399995 29.76737924300005, -95.23365487899996 29.767438504000037, -95.23254506199999 29.76746544200005, -95.22891391499995 29.767513930000053, -95.22579996299999 29.767557029000038, -95.22530431799997 29.767535480000035, -95.22495413299998 29.76746005500007, -95.22449081099994 29.767309206000057, -95.22377427899993 29.767034446000018, -95.22167855799995 29.766307139000045, -95.22119368599994 29.766215552000062, -95.22084350199997 29.766183227000052, -95.22027243099994 29.766177840000047, -95.21808512299998 29.766215552000062, -95.21528040199996 29.766284643000045, -95.21286467599998 29.766366401000017, -95.20670870099995 29.76650618800003, -95.20363057199995 29.76659267400003, -95.20247143099994 29.766600815000054)"
2179,443030,371078,371134,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,JACINTO PORT INDUSTRY LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.88304457,1.42112532,Active,Union Pacific,66,UP,F,"LINESTRING (-95.16693120099995 29.767600129000073, -95.16659016699997 29.76764693800003, -95.16610691999993 29.767713265000058, -95.16494861499994 29.767670166000073, -95.15781562099994 29.76786950200005, -95.15727687299994 29.76784795200005, -95.15675428999997 29.767756364000036, -95.15642565699994 29.76763245400008, -95.15562831099999 29.76718529500006, -95.15523502699993 29.766915922000056, -95.15484174299996 29.76656034900003, -95.15333293899992 29.76526146700008)"
2180,443031,371157,371167,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,JACINTO PORT INDUSTRY LEAD,DUNDEE LEAD,,,,,,1,I,Major Industrial Lead,0.22770792,0.36646111,Active,Union Pacific,66,UP,F,"LINESTRING (-95.15169546699997 29.758700047000048, -95.15168129399996 29.758278422000032, -95.15167391699997 29.758058939000076, -95.15163081699994 29.757746468000047, -95.15150151899995 29.75738550700003, -95.15124830699993 29.756906023000067, -95.15098970999998 29.756615101000072, -95.15067184999998 29.756308015000037, -95.15041628799997 29.756137639000023, -95.15033244099999 29.75608174300005, -95.15003612999998 29.755952443000073)"
2181,443032,371078,371191,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BAYTOWN,#N\A,,,,,,1,M,Main sub network,1.48975464,2.39753249,Active,Union Pacific,66,UP,F,"LINESTRING (-95.16693120099995 29.767600129000073, -95.16615001799994 29.76785872700002, -95.16424539999997 29.76898573900007, -95.16329997299992 29.76952253100004, -95.16242958099997 29.770033136000045, -95.16166423699997 29.770452092000024, -95.15990844499997 29.771460197000074, -95.15860285599994 29.772140989000025, -95.15729726799997 29.77287414600005, -95.15480614599993 29.774301165000054, -95.15108446899995 29.776487477000046, -95.14889973599996 29.777643789000006, -95.14747908199996 29.778173321000047, -95.14651709499998 29.77845625600003, -95.14607778399994 29.778525177000045, -95.14572544399994 29.77862538400006)"
2185,443036,370395,370605,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,,,,,,2,M,Main sub network,1.6773515,2.69944097,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.26855272599994 29.745933956000044, -95.26541315199994 29.745995990000033, -95.26430097499997 29.746072629000025, -95.25841180899994 29.746203498000074, -95.25761708899994 29.746195210000042, -95.25749134899995 29.746193899000044, -95.25662721399999 29.746179704000042, -95.25616052299993 29.74618550200006, -95.25566948099998 29.746191602000064, -95.25512864899997 29.74620187400005, -95.25437477499997 29.74620187400005, -95.24362677499994 29.74643887400002, -95.24065624999996 29.74646954900003)"
2186,443037,370567,370592,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,CLINTON INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.35100448,0.56488808,Active,Union Pacific,66,UP,F,"LINESTRING (-95.24839371199992 29.730222747000024, -95.24719371199996 29.730222745000038, -95.24599371199996 29.730222745000038, -95.24488371099993 29.730222747000024, -95.24369371199997 29.730222746000024, -95.24327467599993 29.730228000000064, -95.24255496199999 29.730237024000076)"
2187,443038,370614,370629,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,CLINTON INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.18442115,0.29679767,Active,Union Pacific,66,UP,F,"LINESTRING (-95.23930313999993 29.730224444000044, -95.23923550099992 29.730228000000064, -95.23900751399997 29.73023998600008, -95.23820651199998 29.73023998600008, -95.23664384199996 29.73025642000003, -95.23623806199998 29.73029225000003)"
2188,443039,370543,370567,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,CLINTON INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.18105217,0.29137581,Active,Union Pacific,66,UP,F,"LINESTRING (-95.25140545499994 29.730215080000054, -95.24839371199992 29.730222747000024)"
2323,442636,369623,369638,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.08508815,0.13693637,Active,Union Pacific,66,UP,F,"LINESTRING (-95.32652999999999 29.766120001000044, -95.32632999999998 29.76610999900004, -95.32511470099998 29.766133399000065)"
2324,442637,369703,369749,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.20831932,0.33525812,Active,Union Pacific,66,UP,F,"LINESTRING (-95.31440039399996 29.76436762500002, -95.31110865799997 29.76341943300002)"
2444,442855,368874,368914,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,,KATY EUREKA INDUSTRIAL LEAD,,,,,,,1,I,Major Industrial Lead,0.5861133,0.9432598,Active,Union Pacific,66,UP,F,"LINESTRING (-95.44225340899999 29.792766902000036, -95.43790818899997 29.792800310000064, -95.43249774099995 29.792777476000026)"
2445,442856,368867,368903,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,KATY EUREKA INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.73703549,1.18614601,Active,Union Pacific,66,UP,F,"LINESTRING (-95.44379220899997 29.790625892000033, -95.44374617099999 29.79059363400006, -95.441901725 29.78930131100002, -95.43830803399999 29.786561520000074, -95.43737251299994 29.785848293000083, -95.43529726499997 29.784451863000065, -95.43487057699996 29.78426438000002, -95.43468755999999 29.784216930000063, -95.43417236199996 29.784083361000047)"
2446,442857,368867,368929,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,KATY EUREKA INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,1.1011235,1.77209004,Active,Union Pacific,66,UP,F,"LINESTRING (-95.44379220899997 29.790625892000033, -95.44341765399996 29.79052793200004, -95.44337198699998 29.790515987000045, -95.44301641499999 29.79042547700003, -95.44246638799994 29.79042789700002, -95.43860731799997 29.790444872000023, -95.43855908799998 29.79042700900004, -95.43850070999996 29.790405389000064, -95.43825821099995 29.79031557300004, -95.43805779799997 29.790134555000055, -95.43798021899993 29.789791913000045, -95.43798021799995 29.789138951000027, -95.43798021699996 29.788676872000053, -95.43798021899993 29.78817567600003, -95.43794789499998 29.78789768200004, -95.43771515499998 29.78763908400002, -95.43732079299996 29.78749685500002, -95.43700907999994 29.787499655000033, -95.43380498499994 29.78752843400002, -95.43084291299994 29.78755503800005, -95.43067261899995 29.78756984700005, -95.43054552499996 29.787580899000044, -95.43017055899998 29.787703732000054, -95.42993781899997 29.78796233000002, -95.42975680199997 29.78817567600003, -95.42954992299997 29.788266185000047, -95.42925253499999 29.78833083400006, -95.42858507399994 29.788331850000084)"
2457,443040,370157,370265,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,BAYTOWN,#N\A,,,,,,1,M,Main sub network,0.89413136,1.43896782,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28931105999999 29.773527809000033, -95.28936891399997 29.77328225400003, -95.28939156499996 29.773023580000018, -95.28941105699992 29.77280097600003, -95.28943278299992 29.771136999000063, -95.28949428499998 29.77008728700003, -95.28949702799996 29.76985922800003, -95.28947918299995 29.76968790500007, -95.28942207399996 29.769455908000054, -95.28937129999996 29.76932809300007, -95.28931856999998 29.769195357000054, -95.28921863299995 29.76901689800006, -95.28891729599997 29.768598556000025, -95.28871210799997 29.768427619000082, -95.28843697899997 29.76825309200007, -95.28817999699999 29.768121031000078, -95.28800510599994 29.768053217000038, -95.28784232299994 29.768001682000012, -95.28754115299994 29.76793524600003, -95.28743122899998 29.767927904000032, -95.28716991599997 29.767910449000055, -95.28505972099997 29.76792731100005, -95.28381623899999 29.767937249000052, -95.28125801099996 29.76803961100007, -95.28005649799996 29.768039608000038)"
2458,443041,370265,370294,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,HOUSTON,BAYTOWN,#N\A,,,,,,1,M,Main sub network,0.23312195,0.37517416,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28005649799996 29.768039608000038, -95.27842499899998 29.76803728500005, -95.27841298399994 29.768037270000033, -95.27839792899994 29.76803724800004, -95.27809792899994 29.76803724800004, -95.276178325 29.768096569000072)"
2459,443042,370161,370157,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,,BAYTOWN,,NORTH,,,,,1,M,Main sub network,0.04158133,0.06691879,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28909415199995 29.77410006900003, -95.28919112599999 29.77389642300005, -95.28923265299994 29.773768797000045, -95.28931105999999 29.773527809000033)"
2460,443043,370089,370056,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,NORTH,,,,,1,M,Main sub network,0.26856673,0.43221712,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29185474999996 29.766481329000047, -95.29184849099993 29.76569967500005, -95.29188487499992 29.764603605000044, -95.29191342799997 29.764275241000046, -95.29191399999996 29.764270420000052, -95.29194673999996 29.763994464000064, -95.29202288299994 29.763661340000052, -95.29211330199996 29.76344242900005, -95.29241430399996 29.76264768900007)"
2461,443044,369995,369987,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,NORTH,,,,,1,M,Main sub network,0.02509569,0.04038768,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29318247199996 29.760970255000075, -95.29319807899996 29.760937998000035, -95.29329232999999 29.76074321400005, -95.29333954099995 29.76063273900008)"
2462,443049,369819,369839,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,,,,,,1,M,Main sub network,0.26727463,0.43013768,Active,Union Pacific,66,UP,F,"MULTILINESTRING ((-95.30377535299998 29.752671305000025, -95.30345206899993 29.753140068000043, -95.30316063099998 29.753569080000023, -95.30316000299995 29.75357000100007, -95.30312874791107 29.75361601054397), (-95.3026230306872 29.754360454965926, -95.30169496599994 29.75572661400003, -95.30150261699998 29.756006687000024))"
2463,443050,369580,369640,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,EAST BELT,,,,,2,M,Main sub network,0.46510567,0.74851651,Active,Union Pacific,66,UP,F,"LINESTRING (-95.33018472299995 29.72103723400005, -95.32867696899994 29.722537504000055, -95.32857506399995 29.722638902000018, -95.32854664699994 29.722667179000034, -95.32847147299998 29.722741980000016, -95.32840632599992 29.722806805000054, -95.32826597599995 29.722946456000052, -95.32796590799995 29.72324503700002, -95.327948329 29.723262528000085, -95.32552827899997 29.725672578000058, -95.32508439199995 29.726114631000026)"
2464,443051,369568,369563,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,,,,,,2,M,Main sub network,0.31338289,0.50434188,Active,Union Pacific,66,UP,F,"LINESTRING (-95.33188893899994 29.719339340000033, -95.33219802199994 29.719025502000076, -95.33240267999996 29.718817697000073, -95.33253377499994 29.71865699600005, -95.33269773099994 29.718456018000037, -95.33283695899996 29.718233255000023, -95.33293567999998 29.71807530400003, -95.33309006399996 29.71775981900004, -95.33315458899993 29.717627965000084, -95.33329735799998 29.717190144000025, -95.33330626699995 29.717141139000038, -95.33337349999992 29.716771360000052, -95.33337574599994 29.716670350000065, -95.33338301699995 29.716343057000064, -95.33337139499997 29.716259763000032, -95.33332590999999 29.715933789000086, -95.33327346599997 29.715705082000046, -95.33321859499993 29.715465787000028, -95.33315100099998 29.71517100100004)"
2465,443052,369568,369580,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,EAST BELT,,,,,2,M,Main sub network,0.1554818,0.2502242,Active,Union Pacific,66,UP,F,"LINESTRING (-95.33188893899994 29.719339340000033, -95.33178401999999 29.71944587400003, -95.33163214299998 29.719596998000036, -95.33129072099996 29.71993672500002, -95.33112174499995 29.72010486400007, -95.33088611699996 29.720339321000026, -95.33045057699995 29.720772700000044, -95.33037156699999 29.72085131700004, -95.33018472299995 29.72103723400005)"
2598,444016,369973,369966,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,NORTH,,,,,1,M,Main sub network,0.0230035,0.03702063,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29358215799992 29.76004838500005, -95.29372730499993 29.759739353000054)"
2599,444017,369960,369958,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,NORTH,,,,,1,M,Main sub network,0.02065833,0.03324642,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29383973399996 29.75921051800003, -95.293849251 29.758910706000034)"
2600,444018,369958,369996,48,TX,201,48201,TX,5,District: 5,PTRA,,,,,,,,,,,,#N\A,NORTH DISTRICT,NORTH SIDE MAIN,NORTH,,,,,1,M,Main sub network,0.11941212,0.19217557,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.293849251 29.758910706000034, -95.29383081099996 29.758704288000036, -95.29381399899995 29.758567694000085, -95.29380785399997 29.75851775600005, -95.29380701699995 29.75851095700005, -95.29376537599997 29.758332497000016, -95.29369399199997 29.758133217000083, -95.29361071099997 29.75793988600003, -95.29350363399999 29.757731683000024, -95.29335789299994 29.75755322400004, -95.29315693299998 29.75732549600006)"
2601,444023,370256,370302,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,GLASS TRACK INDUSTRIAL LEAD,#N\A,GLASS,,,,,1,I,Major Industrial Lead,0.39361481,0.6334629,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28171076599995 29.78187367100003, -95.28138105399997 29.78174437200005, -95.28113538599995 29.781637700000037, -95.28076688299994 29.781547191000065, -95.27838131699997 29.781566586000054, -95.27655677999996 29.781595749000076, -95.27523524199994 29.78161687200002)"
2602,444024,369967,370043,48,TX,201,48201,TX,5,District: 5,PTRA,UP,,,,,,,,,,,,CTC DISTRICT,,OLD CITY,,,,,1,M,Main sub network,0.10624211,0.17098044,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29372353799992 29.745617996000085, -95.29363283999999 29.74536842900006, -95.29348558099998 29.745111929000082, -95.29331999899995 29.744970000000034, -95.29315380899997 29.74482772700003, -95.29307664099996 29.744761666000045, -95.29287438799997 29.74465161600004, -95.29261132799996 29.74452062100003, -95.29258999999996 29.744510000000055)"
2603,444025,370190,370197,48,TX,201,48201,TX,5,District: 5,PTRA,UP,,,,,,,,,,,#N\A,CTC DISTRICT,CITY DOCK LEAD,OLD CITY,,,,,1,M,Main sub network,0.06280202,0.10107025,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.28815889999997 29.743177700000054, -95.28809999999997 29.743160000000042, -95.28717157699997 29.742879382000066)"
2604,444026,370043,370190,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,,CTC DISTRICT,,OLD CITY,,,,,1,M,Main sub network,0.28249119,0.45462641,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.29258999999996 29.744510000000055, -95.29239719999997 29.744452000000017, -95.29177291499997 29.744149026000056, -95.28901501799999 29.743407796000035, -95.288709209 29.74332560500005, -95.28815889999997 29.743177700000054)"
2605,444027,370197,370227,48,TX,201,48201,TX,5,District: 5,PTRA,UP,,,,,,,,,,,HOUSTON,CTC DISTRICT,#N\A,BOOTH,,,,,1,M,Main sub network,0.20747147,0.33389363,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.28717157699997 29.742879382000066, -95.28668084899994 29.74275612500003, -95.28636084899993 29.74263612500004, -95.28624702699993 29.742562779000032, -95.28599309999998 29.742399151000036, -95.28576310099999 29.74220915100004, -95.28556072399994 29.74194196400001, -95.28475482199995 29.74093193000005, -95.28473109999999 29.74090220000005)"
2655,444161,369875,370117,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BOOTH YARD INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.71509468,1.15083564,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29907830899997 29.735599129000033, -95.29852340099994 29.735534479000016, -95.29796310399996 29.735556029000062, -95.29742974599996 29.735685328000045, -95.29696515799998 29.73592931000008, -95.29655697799997 29.73617019900007, -95.29622295599995 29.736541933000076, -95.29575352399995 29.737160570000064, -95.29455262299996 29.738743170000074, -95.29441400099995 29.738925853000065, -95.29391856099994 29.739578763000047, -95.29328140299998 29.740501716000036, -95.29208966999994 29.74199827500007, -95.29193944799992 29.74218692100005, -95.29123284799994 29.742634283000022, -95.29122223299998 29.742641004000067)"
2677,444241,369748,369875,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BOOTH YARD INDUSTRIAL LEAD,#N\A,,,,,,1,I,Major Industrial Lead,0.76893966,1.2374909,Active,Union Pacific,66,UP,F,"LINESTRING (-95.31115433099994 29.739278956000074, -95.31076856299994 29.739176588000078, -95.30927026299997 29.738695188000055, -95.30811411399998 29.738363021000048, -95.30784619399998 29.73828604900007, -95.307251083 29.738115071000042, -95.30518768599997 29.73746857700006, -95.30305964099996 29.736811308000018, -95.30105011899997 29.736207912000044, -95.29907830899997 29.735599129000033)"
