,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
778,439129,370665,370560,48,TX,339,48339,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,4.22384051,6.79762598,Active,Union Pacific,66,UP,F,"LINESTRING (-95.22932236099994 30.10265081900006, -95.22944833499996 30.102288188000042, -95.23095182199994 30.097960210000053, -95.23191352999997 30.09519181700005, -95.23223955199994 30.094253317000053, -95.23324105599994 30.091370367000014, -95.23425077999997 30.088463744000016, -95.23763395699994 30.078724848000036, -95.24118005199995 30.06851696500007, -95.24122155699996 30.068397489000056, -95.24345299999999 30.061974000000085, -95.24431510099998 30.05948214400008, -95.24435954499994 30.05935368100005, -95.24506172799992 30.057324058000066, -95.246960088 30.05183695000005, -95.24702627899997 30.05164563200001, -95.24954479799999 30.044365989000035, -95.24969052399996 30.043944778000036)"
907,439764,370620,370635,48,TX,201,48201,TX,5,District: 5,PTRA,,,UP,,,,,,,,,#N\A,PASADENA DISTRICT,SOUTH SIDE,,,,,,1,M,Main sub network,0.16256116,0.26161735,Active,Port Terminal Railroad Association,12,PTRA,F,"LINESTRING (-95.23772999999993 29.715260000000058, -95.23731999999994 29.71553000000005, -95.23690999999997 29.71573000000007, -95.23656999999996 29.71587000100002, -95.23589000099997 29.71599000000003, -95.23523929999999 29.716001199000072)"
908,439765,369971,370179,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,SETTEGAST,,,,,1,M,Main sub network,0.585242,0.94185759,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29363133099997 29.847226965000047, -95.29349201599995 29.84733606500003, -95.29328747699998 29.847496244000073, -95.29316691699995 29.84759065700006, -95.29308321099995 29.847633330000058, -95.29305982899994 29.847645249000024, -95.29301380499997 29.847668714000065, -95.29293736499994 29.847707682000067, -95.29292298699994 29.847715013000013, -95.29268150699994 29.84783812200003, -95.29250296999997 29.847891020000073, -95.29235775299998 29.847934047000003, -95.29224057999993 29.847968766000065, -95.29216754199994 29.847990406000054, -95.29166082599993 29.84806547500005, -95.29165357899996 29.84806655100005, -95.29116816799994 29.84805703200004, -95.29089477799994 29.848012527000037, -95.29084471499999 29.848004377000056, -95.29081204299995 29.84799905800004, -95.29075890199994 29.847990406000054, -95.29030204599997 29.847857156000025, -95.28997553699996 29.847708100000027, -95.28995260299995 29.84769762900002, -95.28993977399995 29.847691772000076, -95.28986422499997 29.84765728100007, -95.28948350999995 29.847428855000025, -95.28926655799994 29.847236696000042, -95.28917214699999 29.847153076000037, -95.28915038599995 29.847133801000037, -95.28906289599996 29.847032201000047, -95.28885533399995 29.846791158000023, -95.28876499199997 29.846635116000073, -95.28864594099997 29.846429480000033, -95.28853172699995 29.84604876500003, -95.28853143899995 29.84604580100007, -95.28850234799994 29.84574539000003, -95.28849599799997 29.845679820000043, -95.28849594499995 29.845657487000047, -95.28849589199996 29.84563366000003, -95.28849365499997 29.844649643000018, -95.28845082699996 29.843202788000045, -95.28845065399996 29.843196975000065)"
918,439794,370177,370176,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,SETTEGAST,,,,,1,M,Main sub network,0.13854257,0.2229631,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28852509999994 29.829038800000035, -95.28852518699995 29.82899983300007, -95.28852838999995 29.827568280000033, -95.28852959999993 29.827027400000063)"
957,439880,369965,369551,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,GULF COAST,LUFKIN,#N\A,,,,,,1,M,Main sub network,7.55400672,12.15701971,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29373727199997 29.92331801400008, -95.29438101299996 29.921527227000073, -95.29482899999994 29.92028100000004, -95.29497514799999 29.91992017600007, -95.29499121899994 29.919880494000044, -95.29500884899994 29.919836968000034, -95.29548693799994 29.918656609000017, -95.29690203699992 29.915162839000065, -95.29708941699994 29.914700213000057, -95.29802790199994 29.91238317100005, -95.29806385799996 29.912294395000067, -95.29969233999996 29.90827380500009, -95.30155464199999 29.903675930000084, -95.30331834799993 29.899321482000058, -95.30513717399998 29.89483094700004, -95.30540853499996 29.894160978000052, -95.30663108899995 29.891142593000023, -95.30743768099994 29.88915117900006, -95.30891528199999 29.885503101000037, -95.30907303099997 29.88511363100003, -95.31131298699994 29.87958336100006, -95.31291991599993 29.875615981000063, -95.31307677999997 29.875228695000036, -95.31505176599995 29.87035261500004, -95.31516328499997 29.87007728100007, -95.31654081099997 29.866676278000046, -95.31654700099993 29.866661001000065, -95.31816083499996 29.86265928900007, -95.32035240499992 29.857225004000043, -95.32049575899997 29.856869541000034, -95.32094142999995 29.85576444500005, -95.32305051799993 29.850534686000067, -95.32399731499999 29.84818698300005, -95.32404593399997 29.84806642600006, -95.32430411699994 29.847426227000035, -95.32537397599998 29.844773374000063, -95.32690499899996 29.84097700000006, -95.327138882 29.840399548000043, -95.32735253599999 29.83987203500004, -95.32967214399997 29.834144919000043, -95.32995550399994 29.833445303000083, -95.33131186399999 29.830096454000046, -95.33161601899997 29.829345498000063, -95.33164566699998 29.829272295000052, -95.33168468899999 29.829175949000035, -95.33449683299995 29.822232768000053, -95.33452889699998 29.822153602000064, -95.33455954899996 29.82207791800005, -95.33485996799999 29.821336188000036, -95.33511647399995 29.820702873000073, -95.33530057399996 29.820248333000045, -95.33542120699997 29.81995048900006, -95.33542140499998 29.819950000000052, -95.33543430699996 29.81991814800005, -95.33543468599999 29.819917212000057, -95.33546042899997 29.819853410000068)"
962,439886,368903,368935,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,,KATY EUREKA INDUSTRIAL LEAD,,EUREKA YARD,,,,,1,I,Major Industrial Lead,0.42517112,0.68424796,Active,Union Pacific,66,UP,F,"LINESTRING (-95.43417236199996 29.784083361000047, -95.42709970599998 29.783882947000055)"
964,439899,369638,369703,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.66267603,1.06647583,Active,Union Pacific,66,UP,F,"LINESTRING (-95.32511470099998 29.766133399000065, -95.32321999999998 29.76616999900006, -95.32213999999999 29.76616999900006, -95.32138000099997 29.766140001000046, -95.32123086099995 29.766128000000034, -95.32120241299998 29.766125712000065, -95.32050999999994 29.76607000000007, -95.31984999999997 29.765950000000036, -95.31557 29.76471000000003, -95.31543999999995 29.764670000000017, -95.31446527399997 29.764386497000036, -95.31440039399996 29.76436762500002)"
965,439902,369590,369606,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.0897342,0.14441348,Active,Union Pacific,66,UP,F,"LINESTRING (-95.32860757999998 29.76685310000004, -95.32848066099994 29.76664174400002, -95.32845716799993 29.76661942400004, -95.32822206399997 29.766396075000046, -95.32786433599993 29.766223676000035, -95.32779629199996 29.766215070000055, -95.32743999999997 29.766170000000045)"
966,439904,369598,369589,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.15196618,0.24456636,Active,Union Pacific,66,UP,F,"LINESTRING (-95.32802460599999 29.78247039700007, -95.32828880499993 29.78229747800002, -95.32829964299998 29.782286926000033, -95.32845172499998 29.782067921000067, -95.32848707399995 29.78201369200007, -95.32859272199993 29.78185161700003, -95.32867460999994 29.781674909000056, -95.32870477999994 29.78145941100008, -95.32869615999994 29.781183574000067, -95.32869195799996 29.780834833000025, -95.32868754099997 29.78046811900003)"
967,439905,369577,369589,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,BELL MAIN,#N\A,,,,,,1,M,Main sub network,0.15928223,0.25634041,Active,Union Pacific,66,UP,F,"LINESTRING (-95.33060988499993 29.78136896600005, -95.33010227699998 29.78151089700004, -95.32985585999994 29.781544141000037, -95.32941161299998 29.78146372100002, -95.32904526799996 29.78122667200005, -95.32895751399997 29.78112101000005, -95.32883407899999 29.78097238500003, -95.32873494999994 29.780726717000057, -95.32868754099997 29.78046811900003)"
