,10:00-10:05,10:05-10:10,10:10-10:15,10:15-10:20,10:20-10:25,10:25-10:30,10:30-10:35,10:35-10:40,10:40-10:45,10:45-10:50,10:50-10:55,10:55-11:00,11:00-11:05,11:05-11:10,11:10-11:15,11:15-11:20,11:20-11:25,11:25-11:30,11:30-11:35,11:35-11:40,11:40-11:45,11:45-11:50,11:50-11:55,11:55-12:00,12:00-12:05,12:05-12:10,12:10-12:15,12:15-12:20,12:20-12:25,12:25-12:30,12:30-12:35,12:35-12:40,12:40-12:45,12:45-12:50,12:50-12:55,12:55-13:00,13:00-13:05,13:05-13:10,13:10-13:15,13:15-13:20,13:20-13:25,13:25-13:30,13:30-13:35,13:35-13:40,13:40-13:45,13:45-13:50,13:50-13:55,13:55-14:00,14:00-14:05,14:05-14:10,14:10-14:15,14:15-14:20,14:20-14:25,14:25-14:30,14:30-14:35,14:35-14:40,14:40-14:45,14:45-14:50,14:50-14:55,14:55-15:00
755709E,71.92280701754386,73.84795321637426,72.47485380116959,70.58011695906433,62.099415204678365,61.473684210526315,60.72280701754386,68.08888888888889,69.30643274853801,68.58947368421053,69.26432748538012,65.52748538011696,62.24795321637427,68.84912280701755,68.706432748538,74.33684210526316,76.61286549707603,71.2140350877193,62.04795321637427,60.538011695906434,59.45730994152047,62.92514619883041,63.160233918128654,56.76959064327485,58.51695906432749,57.316959064327484,53.78011695906433,54.65964912280702,56.4280701754386,63.74502923976608,66.22923976608188,63.35204678362573,60.30409356725146,57.085380116959065,52.940350877192984,54.93801169590643,64.69941520467836,66.96023391812865,60.743859649122804,67.48538011695906,65.15087719298245,68.02105263157895,68.54853801169591,71.9017543859649,69.2654970760234,70.55672514619883,71.01637426900585,72.19298245614036,73.16959064327486,72.05964912280702,78.40701754385965,81.58830409356725,80.62105263157895,79.65730994152047,83.28888888888889,81.6187134502924,79.56959064327485,83.35321637426901,84.11695906432749,78.28771929824562
288224V,71.3782894736842,59.95065789473684,62.375,70.61513157894737,69.90131578947368,80.94736842105263,82.20065789473684,73.64144736842105,75.38815789473684,81.92434210526316,78.74342105263158,74.57401315789474,71.65789473684211,72.00986842105263,72.38157894736842,71.40789473684211,69.49013157894737,63.7796052631579,65.25986842105263,71.9407894736842,87.90131578947368,86.25,90.72039473684211,91.7467105263158,95.15460526315789,83.72697368421052,83.85197368421052,86.36513157894737,82.00986842105263,89.37664473684211,95.86842105263158,85.86513157894737,72.48684210526316,82.96381578947368,89.2467105263158,89.24506578947368,88.4720394736842,87.25822368421052,81.23355263157895,84.13815789473684,84.8092105263158,82.9407894736842,78.68914473684211,83.65789473684211,71.08223684210526,81.94407894736842,88.36513157894737,91.40460526315789,90.91447368421052,84.54111842105263,78.96217105263158,82.28289473684211,82.94736842105263,88.25657894736842,92.52631578947368,82.61513157894737,87.72368421052632,89.35032894736842,87.6842105263158,90.0345394736842
288129A,89.85664739884393,88.22196531791907,86.64508670520232,88.99653179190751,95.34335260115607,95.32254335260116,81.4150289017341,86.11445086705203,94.82196531791908,90.21965317919076,84.5757225433526,81.81734104046242,91.09595375722543,89.68323699421966,91.04739884393064,80.76994219653179,81.18381502890173,84.11445086705203,79.88439306358381,84.14797687861272,95.95028901734103,94.58265895953757,101.01040462427746,105.30404624277456,88.2057803468208,90.51098265895953,97.69364161849711,99.12947976878613,95.79537572254335,104.62312138728323,103.9306358381503,104.85549132947978,112.17109826589595,112.40693641618498,111.72832369942196,113.09595375722543,106.13179190751445,103.64046242774566,113.83121387283236,112.7421965317919,110.83005780346821,104.45086705202313,114.5179190751445,104.33294797687861,100.99653179190751,96.27976878612716,98.89595375722543,105.1028901734104,101.69132947976878,109.24971098265895,108.76300578034682,105.79190751445087,96.01849710982658,88.82543352601157,109.9907514450867,116.4578034682081,107.90057803468208,105.65664739884393,109.84046242774566,109.82196531791908
859523F,60.891454965357966,58.84988452655889,57.29099307159353,58.184757505773675,60.466512702078525,53.8568129330254,53.39953810623557,54.34642032332564,52.20900692840647,52.62355658198614,53.17782909930716,62.545034642032334,57.454965357967666,54.3094688221709,59.37413394919169,64.1986143187067,64.51039260969976,60.390300230946885,64.1986143187067,62.16397228637413,57.729792147806,54.697459584295615,51.48498845265589,56.37413394919169,63.12009237875289,64.69284064665128,58.04272517321016,58.286374133949195,60.378752886836025,59.04965357967667,59.49884526558891,60.82909930715935,60.08545034642032,57.505773672055426,55.775981524249424,57.40877598152425,64.79676674364896,69.30023094688222,68.82217090069284,62.38337182448037,59.93995381062356,67.5311778290993,62.34642032332564,62.18937644341801,62.56120092378753,58.44572748267898,59.02309468822171,57.288683602771364,57.762124711316396,58.1824480369515,56.789838337182445,62.59122401847575,62.787528868360276,56.609699769053115,55.277136258660505,54.12933025404157,59.86836027713626,62.94919168591224,60.17551963048499,55.609699769053115
859517C,41.44611819235226,40.727694090382386,40.929316338354575,43.719582850521434,41.26071842410197,38.94785631517961,37.51564310544612,34.0324449594438,35.86558516801854,38.815758980301275,41.68945538818077,36.71378910776362,33.79837775202781,41.582850521436846,43.691772885283896,44.17612977983777,39.228273464658166,41.68945538818077,41.54345307068366,39.73348783314021,37.14484356894554,35.12398609501738,36.05677867902665,40.98609501738123,47.43221320973349,42.148319814600235,39.34878331402086,41.22595596755504,40.7891077636153,40.426419466975666,43.11239860950174,45.1008111239861,43.249130938586326,41.70104287369641,44.96639629200463,51.819235225955964,57.30011587485516,52.8667439165701,47.50869061413673,44.95944380069525,48.039397450753185,49.91193511008111,47.70336037079954,49.48088064889919,43.52027809965237,45.99768250289687,45.9513325608343,45.94438006952491,46.22016222479722,42.62108922363847,48.004634994206256,49.89107763615296,45.58053302433372,41.03128621089223,40.26651216685979,45.58980301274623,49.826187717265356,47.79837775202781,48.340672074159905,44.40324449594438
755640L,95.53725490196078,93.10588235294118,87.03921568627452,84.04313725490196,81.73333333333333,83.6470588235294,89.66666666666667,96.46666666666667,97.45098039215686,99.62745098039215,95.63529411764706,97.5764705882353,107.2,109.0156862745098,101.89019607843137,99.27058823529411,94.6156862745098,96.00392156862745,101.1921568627451,102.92941176470588,100.49019607843137,98.18823529411765,94.3529411764706,95.08627450980393,92.33333333333333,88.83921568627451,89.77254901960784,97.96470588235294,106.27843137254902,99.09019607843138,91.88235294117646,94.10980392156863,92.86666666666666,89.6313725490196,94.91764705882353,91.6,88.22745098039216,92.33725490196079,97.12156862745098,92.47058823529412,99.37254901960785,99.07450980392157,98.75294117647059,98.29411764705883,101.3686274509804,101.58039215686274,97.73725490196078,97.52156862745097,100.03921568627452,100.5921568627451,105.08627450980393,106.44705882352942,99.4235294117647,102.01960784313725,111.03529411764706,112.02745098039216,110.70196078431373,110.93333333333334,117.79607843137255,122.71764705882353
288039B,45.95876288659794,45.605670103092784,43.22422680412371,47.7680412371134,48.922680412371136,45.17783505154639,44.115979381443296,46.1958762886598,44.115979381443296,42.91237113402062,46.03092783505155,45.5,49.73453608247423,43.02319587628866,46.891752577319586,45.904639175257735,45.43556701030928,50.83762886597938,50.76546391752577,45.634020618556704,44.100515463917525,46.72164948453608,44.70103092783505,46.16752577319588,49.2139175257732,40.649484536082475,40.27577319587629,35.853092783505154,36.43556701030928,39.899484536082475,41.69072164948454,43.595360824742265,42.5180412371134,50.371134020618555,48.373711340206185,45.118556701030926,47.96649484536083,42.83247422680412,48.22680412371134,45.65721649484536,43.48453608247423,40.65979381443299,38.404639175257735,42.81958762886598,34.66881443298969,35.865979381443296,33.21649484536083,39.03865979381443,37.95618556701031,28.65721649484536,31.582474226804123,33.04381443298969,34.44845360824742,31.515463917525775,40.0,41.98711340206186,37.72680412371134,31.99742268041237,34.11340206185567,33.65979381443299
743650H,5.834482758620689,5.848275862068966,6.834482758620689,8.351724137931035,5.813793103448276,4.372413793103449,4.0137931034482754,2.2482758620689656,2.317241379310345,3.2344827586206897,7.6,9.848275862068965,12.36551724137931,2.331034482758621,4.586206896551724,6.4206896551724135,9.875862068965517,10.675862068965516,9.8,4.137931034482759,5.13103448275862,6.124137931034483,9.958620689655172,7.813793103448276,9.13103448275862,3.303448275862069,7.689655172413793,6.303448275862069,9.027586206896551,8.586206896551724,10.924137931034483,4.848275862068966,3.013793103448276,2.3655172413793104,6.3310344827586205,9.758620689655173,0.2,1.703448275862069,8.310344827586206,4.468965517241379,4.255172413793104,4.537931034482758,1.993103448275862,2.6620689655172414,7.082758620689655,5.324137931034483,2.8551724137931034,1.3448275862068966,1.5448275862068965,5.393103448275862,4.862068965517241,0.5793103448275863,1.806896551724138,3.7241379310344827,3.220689655172414,10.041379310344828,3.393103448275862,1.3724137931034484,3.8482758620689657,6.448275862068965
743658M,136.36363636363637,136.66666666666666,148.84848484848484,142.87878787878788,136.36363636363637,144.96969696969697,136.36363636363637,138.12121212121212,143.15151515151516,139.4848484848485,145.24242424242425,140.06060606060606,136.36363636363637,138.96969696969697,151.3939393939394,136.36363636363637,136.63636363636363,142.96969696969697,138.66666666666666,136.36363636363637,144.63636363636363,147.57575757575756,155.5151515151515,151.57575757575756,139.36363636363637,153.78787878787878,151.45454545454547,150.93939393939394,150.63636363636363,142.75757575757575,152.78787878787878,140.1818181818182,136.36363636363637,143.96969696969697,141.21212121212122,136.36363636363637,136.36363636363637,136.36363636363637,136.36363636363637,136.36363636363637,136.36363636363637,136.36363636363637,136.36363636363637,145.24242424242425,145.45454545454547,151.63636363636363,146.0,145.45454545454547,156.87878787878788,154.54545454545453,160.6060606060606,164.63636363636363,159.54545454545453,161.21212121212122,163.15151515151516,155.0,157.45454545454547,145.45454545454547,148.21212121212122,150.27272727272728
755621G,32.03597122302158,26.1294964028777,32.43884892086331,34.669064748201436,27.611510791366907,30.0431654676259,29.093525179856115,24.762589928057555,17.496402877697843,31.453237410071942,34.44604316546763,20.72661870503597,25.784172661870503,14.920863309352518,16.755395683453237,21.446043165467625,26.07913669064748,16.31654676258993,14.971223021582734,24.201438848920862,16.381294964028775,19.784172661870503,22.18705035971223,30.41726618705036,22.402877697841728,17.41726618705036,16.309352517985612,15.863309352517986,22.48201438848921,14.906474820143885,24.66906474820144,36.13669064748201,26.60431654676259,23.158273381294965,19.453237410071942,21.37410071942446,21.58992805755396,15.776978417266188,18.050359712230215,31.913669064748202,22.611510791366907,17.388489208633093,19.467625899280577,20.20863309352518,19.93525179856115,19.81294964028777,15.115107913669064,18.73381294964029,22.37410071942446,17.712230215827336,12.237410071942445,19.532374100719423,25.07913669064748,16.359712230215827,16.985611510791365,21.172661870503596,26.345323741007196,17.244604316546763,22.0,13.20863309352518
