,Station_Ind,Crossing_Ind,Time_In_Seconds
365,2,0,1153
366,2,1,1042
367,2,2,1021
368,2,3,916
369,2,4,751
370,3,0,1167
371,3,1,1057
372,3,2,1036
373,3,3,929
374,3,4,851
375,4,0,1140
376,4,1,1213
377,4,2,1341
378,4,3,1264
379,4,4,1115
380,0,0,955
381,0,1,932
382,0,2,1021
383,0,3,964
384,0,4,1148
385,1,0,667
386,1,1,444
387,1,2,732
388,1,3,675
389,1,4,697
390,2,0,664
391,2,1,674
392,2,2,729
393,2,3,672
394,2,4,928
395,3,0,877
396,3,1,853
397,3,2,942
398,3,3,885
399,3,4,1107
400,4,0,1413
401,4,1,1162
402,4,2,1478
403,4,3,1421
404,4,4,1152
405,0,0,1191
406,0,1,1305
407,0,2,1286
408,0,3,981
409,0,4,1004
410,1,0,917
411,1,1,1031
412,1,2,1012
413,1,3,693
414,1,4,516
415,2,0,1148
416,2,1,1262
417,2,2,1243
418,2,3,690
419,2,4,747
420,3,0,1326
421,3,1,1441
422,3,2,1421
423,3,3,903
424,3,4,925
425,4,0,814
426,4,1,851
427,4,2,714
428,4,3,1444
429,4,4,1227
430,0,0,557
431,0,1,608
432,0,2,1027
433,0,3,1648
434,0,4,817
435,1,0,487
436,1,1,537
437,1,2,944
438,1,3,1565
439,1,4,1357
440,2,0,402
441,2,1,453
442,2,2,872
443,2,3,1493
444,2,4,1095
445,3,0,431
446,3,1,481
447,3,2,851
448,3,3,1472
449,3,4,1110
450,4,0,1281
451,4,1,1331
452,4,2,1738
453,4,3,2359
454,4,4,1215
455,0,0,758
456,0,1,733
457,0,2,784
458,0,3,864
459,0,4,949
460,1,0,661
461,1,1,651
462,1,2,701
463,1,3,781
464,1,4,866
465,2,0,589
466,2,1,578
467,2,2,629
468,2,3,709
469,2,4,794
470,3,0,465
471,3,1,558
472,3,2,608
473,3,3,688
474,3,4,773
475,4,0,1455
476,4,1,1445
477,4,2,1495
478,4,3,1575
479,4,4,1660
480,0,0,1044
481,0,1,1691
482,0,2,840
483,0,3,883
484,0,4,1095
485,1,0,962
486,1,1,1402
487,1,2,542
488,1,3,712
489,1,4,807
490,2,0,890
491,2,1,1398
492,2,2,493
493,2,3,663
494,2,4,803
495,3,0,869
496,3,1,1612
497,3,2,680
498,3,3,737
499,3,4,1017
500,4,0,1756
501,4,1,1915
502,4,2,1314
503,4,3,1483
504,4,4,1552
505,0,0,1146
506,0,1,1048
507,0,2,1206
508,0,3,1421
509,0,4,1462
510,1,0,857
511,1,1,759
512,1,2,918
513,1,3,1132
514,1,4,1174
515,2,0,853
516,2,1,756
517,2,2,914
518,2,3,1129
519,2,4,1171
520,3,0,1067
521,3,1,969
522,3,2,1128
523,3,3,1342
524,3,4,1384
525,4,0,1603
526,4,1,1505
527,4,2,1664
528,4,3,1878
529,4,4,1847
530,0,0,1545
531,0,1,1637
532,0,2,1807
533,0,3,1874
534,0,4,1795
535,1,0,1256
536,1,1,1349
537,1,2,1519
538,1,3,1586
539,1,4,1506
540,2,0,1253
541,2,1,1346
542,2,2,1516
543,2,3,1583
544,2,4,1503
545,3,0,1466
546,3,1,1559
547,3,2,1729
548,3,3,1796
549,3,4,1716
550,4,0,1752
551,4,1,1777
552,4,2,1974
553,4,3,2099
554,4,4,2049
555,0,0,1121
556,1,0,633
557,2,0,864
558,3,0,1042
559,4,0,1326
560,0,0,1589
561,0,1,1500
562,0,2,830
563,0,3,1066
564,0,4,602
565,1,0,1566
566,1,1,1477
567,1,2,1107
568,1,3,1044
569,1,4,581
570,2,0,2036
571,2,1,1860
572,2,2,766
573,2,3,1504
574,2,4,1065
575,3,0,1713
576,3,1,1625
577,3,2,1083
578,3,3,1192
579,3,4,728
580,4,0,1593
581,4,1,1505
582,4,2,987
583,4,3,1071
584,4,4,609
585,0,0,934
586,0,1,1106
587,0,2,814
588,0,3,1024
589,0,4,1170
590,1,0,911
591,1,1,1070
592,1,2,792
593,1,3,1378
594,1,4,1134
595,2,0,1304
596,2,1,1311
597,2,2,1252
598,2,3,1230
599,2,4,1375
600,3,0,1060
601,3,1,1219
602,3,2,940
603,3,3,1297
604,3,4,1282
605,4,0,939
606,4,1,1098
607,4,2,820
608,4,3,1347
609,4,4,1162
610,0,0,852
611,0,1,632
612,0,2,508
613,0,3,847
614,0,4,878
615,1,0,671
616,1,1,905
617,1,2,841
618,1,3,1124
619,1,4,1155
620,2,0,985
621,2,1,504
622,2,2,474
623,2,3,690
624,2,4,806
625,3,0,860
626,3,1,826
627,3,2,701
628,3,3,1100
629,3,4,1130
630,4,0,656
631,4,1,785
632,4,2,721
633,4,3,1004
634,4,4,1034
635,0,0,864
636,0,1,754
637,0,2,838
638,0,3,726
639,0,4,434
640,1,0,1141
641,1,1,1031
642,1,2,1010
643,1,3,902
644,1,4,825
645,2,0,715
646,2,1,535
647,2,2,526
648,2,3,473
649,2,4,501
650,3,0,1117
651,3,1,1007
652,3,2,1032
653,3,3,920
654,3,4,628
655,4,0,1021
656,4,1,911
657,4,2,890
658,4,3,782
659,4,4,705
660,0,0,983
661,0,1,959
662,0,2,1047
663,0,3,991
664,0,4,1137
665,1,0,959
666,1,1,936
667,1,2,1024
668,1,3,968
669,1,4,1189
670,2,0,1420
671,2,1,1326
672,2,2,1485
673,2,3,1429
674,2,4,1342
675,3,0,1107
676,3,1,1083
677,3,2,1172
678,3,3,1116
679,3,4,1337
680,4,0,988
681,4,1,963
682,4,2,1053
683,4,3,996
684,4,4,1217
685,0,0,1180
686,0,1,1294
687,0,2,1275
688,0,3,1008
689,0,4,1030
690,1,0,1409
691,1,1,1523
692,1,2,1503
693,1,3,986
694,1,4,1008
695,2,0,1385
696,2,1,1499
697,2,2,1480
698,2,3,1446
699,2,4,1391
700,3,0,1452
701,3,1,1567
702,3,2,1547
703,3,3,1134
704,3,4,1156
705,4,0,1436
706,4,1,1551
707,4,2,1532
708,4,3,1013
709,4,4,1036
710,0,0,584
711,0,1,634
712,0,2,1054
713,0,3,1674
714,0,4,806
715,1,0,563
716,1,1,613
717,1,2,882
718,1,3,1503
719,1,4,1083
720,2,0,1046
721,2,1,1097
722,2,2,1196
723,2,3,1817
724,2,4,637
725,3,0,709
726,3,1,760
727,3,2,1070
728,3,3,1691
729,3,4,1059
730,4,0,590
731,4,1,641
732,4,2,866
733,4,3,1487
734,4,4,963
735,0,0,785
736,0,1,760
737,0,2,810
738,0,3,890
739,0,4,976
740,1,0,615
741,1,1,588
742,1,2,639
743,1,3,719
744,1,4,804
745,2,0,939
746,2,1,902
747,2,2,953
748,2,3,1033
749,2,4,1118
750,3,0,852
751,3,1,777
752,3,2,828
753,3,3,907
754,3,4,992
755,4,0,551
756,4,1,573
757,4,2,624
758,4,3,703
759,4,4,788
760,0,0,1071
761,0,1,1717
762,0,2,867
763,0,3,910
764,0,4,1122
765,1,0,900
766,1,1,1695
767,1,2,879
768,1,3,889
769,1,4,1099
770,2,0,1214
771,2,1,2154
772,2,2,1340
773,2,3,1372
774,2,4,1484
775,3,0,1088
776,3,1,1843
777,3,2,992
778,3,3,1035
779,3,4,1247
780,4,0,884
781,4,1,1722
782,4,2,907
783,4,3,917
784,4,4,1127
785,0,0,1172
786,0,1,1074
787,0,2,1233
788,0,3,1447
789,0,4,1490
790,1,0,1149
791,1,1,1052
792,1,2,1210
793,1,3,1425
794,1,4,1467
795,2,0,1621
796,2,1,1529
797,2,2,1670
798,2,3,1885
799,2,4,1927
800,3,0,1298
801,3,1,1200
802,3,2,1358
803,3,3,1573
804,3,4,1615
805,4,0,1177
806,4,1,1079
807,4,2,1238
808,4,3,1452
809,4,4,1494
810,0,0,1571
811,0,1,1665
812,0,2,1834
813,0,3,1902
814,0,4,1822
815,1,0,1549
816,1,1,1642
817,1,2,1811
818,1,3,1878
819,1,4,1799
820,2,0,2009
821,2,1,2102
822,2,2,2272
823,2,3,2339
824,2,4,2259
825,3,0,1697
826,3,1,1789
827,3,2,1959
828,3,3,2026
829,3,4,1947
830,4,0,1576
831,4,1,1670
832,4,2,1840
833,4,3,1907
834,4,4,1827
835,0,0,1148
836,1,0,1124
837,2,0,1516
838,3,0,1273
839,4,0,1153
840,0,0,1304
841,0,1,1215
842,0,2,1130
843,0,3,904
844,0,4,658
845,1,0,1525
846,1,1,1401
847,1,2,1243
848,1,3,525
849,1,4,89
850,2,0,885
851,2,1,709
852,2,2,1477
853,2,3,385
854,2,4,625
855,3,0,1441
856,3,1,1276
857,3,2,1266
858,3,3,790
859,3,4,411
860,4,0,1428
861,4,1,1252
862,4,2,1566
863,4,3,306
864,4,4,434
865,0,0,649
866,0,1,808
867,0,2,652
868,0,3,777
869,0,4,872
870,1,0,859
871,1,1,1018
872,1,2,366
873,1,3,1326
874,1,4,1082
875,2,0,725
876,2,1,807
877,2,2,414
878,2,3,1060
879,2,4,774
880,3,0,704
881,3,1,862
882,3,2,558
883,3,3,1170
884,3,4,926
885,4,0,992
886,4,1,1151
887,4,2,433
888,4,3,1459
889,4,4,1215
890,0,0,950
891,0,1,937
892,0,2,831
893,0,3,1147
894,0,4,1178
895,1,0,657
896,1,1,1051
897,1,2,949
898,1,3,1261
899,1,4,1291
900,2,0,904
901,2,1,1285
902,2,2,1183
903,2,3,1494
904,2,4,1524
905,3,0,513
906,3,1,1074
907,3,2,972
908,3,3,1283
909,3,4,1314
910,4,0,955
911,4,1,1374
912,4,2,1272
913,4,3,1583
914,4,4,1614
915,0,0,1164
916,0,1,1054
917,0,2,1033
918,0,3,926
919,0,4,758
920,1,0,1277
921,1,1,1167
922,1,2,1146
923,1,3,1040
924,1,4,876
925,2,0,1511
926,2,1,1401
927,2,2,1380
928,2,3,1274
929,2,4,1109
930,3,0,1300
931,3,1,1190
932,3,2,1169
933,3,3,1063
934,3,4,899
935,4,0,1600
936,4,1,1490
937,4,2,1469
938,4,3,1363
939,4,4,1199
940,0,0,819
941,0,1,674
942,0,2,884
943,0,3,828
944,0,4,889
945,1,0,809
946,1,1,884
947,1,2,907
948,1,3,817
949,1,4,1137
950,2,0,270
951,2,1,537
952,2,2,335
953,2,3,175
954,2,4,871
955,3,0,725
956,3,1,728
957,3,2,790
958,3,3,734
959,3,4,981
960,4,0,605
961,4,1,1016
962,4,2,624
963,4,3,742
964,4,4,1270
965,0,0,933
966,0,1,1047
967,0,2,1027
968,0,3,845
969,0,4,746
970,1,0,1357
971,1,1,1471
972,1,2,1452
973,1,3,876
974,1,4,956
975,2,0,1091
976,2,1,1205
977,2,2,1186
978,2,3,184
979,2,4,503
980,3,0,1201
981,3,1,1315
982,3,2,1296
983,3,3,751
984,3,4,800
985,4,0,1490
986,4,1,1604
987,4,2,1585
988,4,3,728
989,4,4,997
990,0,0,687
991,0,1,738
992,0,2,1145
993,0,3,1766
994,0,4,1107
995,1,0,340
996,1,1,391
997,1,2,852
998,1,3,1473
999,1,4,1220
1000,2,0,640
1001,2,1,691
1002,2,2,1098
1003,2,3,1719
1004,2,4,1453
1005,3,0,262
1006,3,1,277
1007,3,2,708
1008,3,3,1329
1009,3,4,1242
1010,4,0,458
1011,4,1,428
1012,4,2,1167
1013,4,3,1788
1014,4,4,1543
1015,0,0,862
1016,0,1,851
1017,0,2,902
1018,0,3,981
1019,0,4,1067
1020,1,0,569
1021,1,1,558
1022,1,2,609
1023,1,3,689
1024,1,4,774
1025,2,0,815
1026,2,1,804
1027,2,2,855
1028,2,3,935
1029,2,4,1020
1030,3,0,419
1031,3,1,414
1032,3,2,465
1033,3,3,545
1034,3,4,630
1035,4,0,961
1036,4,1,873
1037,4,2,924
1038,4,3,1003
1039,4,4,1089
1040,0,0,1162
1041,0,1,1554
1042,0,2,720
1043,0,3,890
1044,0,4,959
1045,1,0,870
1046,1,1,1544
1047,1,2,233
1048,1,3,310
1049,1,4,977
1050,2,0,1116
1051,2,1,1019
1052,2,2,493
1053,2,3,494
1054,2,4,496
1055,3,0,726
1056,3,1,1460
1057,3,2,573
1058,3,3,575
1059,3,4,781
1060,4,0,1184
1061,4,1,1504
1062,4,2,460
1063,4,3,252
1064,4,4,651
1065,0,0,1009
1066,0,1,912
1067,0,2,1070
1068,0,3,1285
1069,0,4,1326
1070,1,0,998
1071,1,1,901
1072,1,2,1059
1073,1,3,1274
1074,1,4,1316
1075,2,0,474
1076,2,1,377
1077,2,2,535
1078,2,3,750
1079,2,4,792
1080,3,0,915
1081,3,1,818
1082,3,2,976
1083,3,3,1191
1084,3,4,1232
1085,4,0,821
1086,4,1,760
1087,4,2,943
1088,4,3,1235
1089,4,4,1276
1090,0,0,1409
1091,0,1,1501
1092,0,2,1671
1093,0,3,1738
1094,0,4,1658
1095,1,0,1398
1096,1,1,1491
1097,1,2,1661
1098,1,3,1728
1099,1,4,1648
1100,2,0,874
1101,2,1,967
1102,2,2,1136
1103,2,3,1203
1104,2,4,1124
1105,3,0,1315
1106,3,1,1407
1107,3,2,1577
1108,3,3,1644
1109,3,4,1564
1110,4,0,1359
1111,4,1,1451
1112,4,2,1621
1113,4,3,1688
1114,4,4,1608
1115,0,0,863
1116,1,0,1073
1117,2,0,823
1118,3,0,917
1119,4,0,1206
1120,0,0,1160
1121,0,1,984
1122,0,2,1329
1123,0,3,1092
1124,0,4,881
1125,1,0,1113
1126,1,1,937
1127,1,2,1730
1128,1,3,605
1129,1,4,935
1130,2,0,1040
1131,2,1,864
1132,2,2,1697
1133,2,3,516
1134,2,4,846
1135,3,0,1002
1136,3,1,813
1137,3,2,1578
1138,3,3,1024
1139,3,4,808
1140,4,0,1227
1141,4,1,1051
1142,4,2,1581
1143,4,3,680
1144,4,4,770
1145,0,0,428
1146,0,1,426
1147,0,2,870
1148,0,3,302
1149,0,4,514
1150,1,0,839
1151,1,1,922
1152,1,2,714
1153,1,3,1174
1154,1,4,889
1155,2,0,766
1156,2,1,848
1157,2,2,625
1158,2,3,1101
1159,2,4,816
1160,3,0,343
1161,3,1,204
1162,3,2,802
1163,3,3,770
1164,3,4,143
1165,4,0,622
1166,4,1,781
1167,4,2,480
1168,4,3,1089
1169,4,4,845
1170,0,0,1173
1171,0,1,1135
1172,0,2,1030
1173,0,3,1346
1174,0,4,1377
1175,1,0,842
1176,1,1,1528
1177,1,2,1464
1178,1,3,1747
1179,1,4,1778
1180,2,0,828
1181,2,1,1505
1182,2,2,1403
1183,2,3,1714
1184,2,4,1745
1185,3,0,1101
1186,3,1,1385
1187,3,2,1280
1188,3,3,1596
1189,3,4,1626
1190,4,0,1064
1191,4,1,1390
1192,4,2,1287
1193,4,3,1599
1194,4,4,1629
1195,0,0,1363
1196,0,1,1253
1197,0,2,1232
1198,0,3,1124
1199,0,4,957
1200,1,0,1764
1201,1,1,1654
1202,1,2,1633
1203,1,3,1525
1204,1,4,1393
1205,2,0,1731
1206,2,1,1621
1207,2,2,1600
1208,2,3,1494
1209,2,4,1330
1210,3,0,1612
1211,3,1,1502
1212,3,2,1482
1213,3,3,1374
1214,3,4,1206
1215,4,0,1616
1216,4,1,1505
1217,4,2,1485
