,CrossingID,Latitude,Longitude,BlockageTime,geometry
0,023207W,29.6208534,-95.304408,14.865776550030693,POINT (-95.304408 29.6208534)
1,023228P,29.6459164,-95.3119071,5.234539357571479,POINT (-95.3119071 29.6459164)
2,176296N,29.8506199,-95.5290965,3.724102564102564,POINT (-95.5290965 29.8506199)
3,288039B,29.7335018,-95.317612,9.524388978170617,POINT (-95.317612 29.7335018)
4,288129A,29.7575112,-95.3492479,9.070911817190444,POINT (-95.3492479 29.7575112)
5,288208L,29.6853757,-95.3907194,2.8856565656565656,POINT (-95.3907194 29.6853757)
6,288217K,29.6702739,-95.3967303,4.640734526472781,POINT (-95.3967303 29.6702739)
7,288224V,29.737688,-95.3406177,7.190685236547274,POINT (-95.3406177 29.737688)
8,440652H,29.64780499616617,-95.46394973847828,4.7277035514445584,POINT (-95.46394973847828 29.64780499616617)
9,447996V,29.6574367,-95.4018223,18.034782608695654,POINT (-95.4018223 29.6574367)
10,448535P,29.823386,-95.3184915,1.657843137254902,POINT (-95.3184915 29.823386)
11,743267T,29.8117545,-95.4746882,6.568763440860215,POINT (-95.4746882 29.8117545)
12,743270B,29.8030414,-95.4627234,12.485483870967743,POINT (-95.4627234 29.8030414)
13,743650H,29.8615422,-95.5444746,3.115970515970516,POINT (-95.5444746 29.8615422)
14,743653D,29.8527612,-95.5321003,8.367458432304037,POINT (-95.5321003 29.8527612)
15,743658M,29.8472309,-95.5243125,93.85401360544219,POINT (-95.5243125 29.8472309)
16,743659U,29.8335664,-95.5051017,3.2225806451612904,POINT (-95.5051017 29.8335664)
17,743662C,29.8256029,-95.4939864,25.835714285714285,POINT (-95.4939864 29.8256029)
18,743668T,29.818197,-95.4835502,9.046450939457202,POINT (-95.4835502 29.818197)
19,743673P,29.798144,-95.4560286,11.608026533996684,POINT (-95.4560286 29.798144)
20,745046X,29.7141973,-95.2948693,10.726972010178116,POINT (-95.2948693 29.7141973)
21,755327J,29.6795761,-95.3672722,4.300134734572891,POINT (-95.3672722 29.6795761)
22,755351K,29.716774,-95.290279,20.009348864994028,POINT (-95.290279 29.716774)
23,755356U,29.7027092,-95.3151565,15.505701754385965,POINT (-95.3151565 29.7027092)
24,755612H,29.665770493677808,-95.41307092105238,10.287303182579565,POINT (-95.41307092105238 29.665770493677808)
25,755621G,29.640792292723564,-95.4823059,4.359808634992459,POINT (-95.4823059 29.640792292723564)
26,755622N,29.6365842,-95.4932319,4.689082702165098,POINT (-95.4932319 29.6365842)
27,755624C,29.631040587056315,-95.50758393353988,4.179229673460443,POINT (-95.50758393353988 29.631040587056315)
28,755626R,29.6989432,-95.3211161,10.57766410912191,POINT (-95.3211161 29.6989432)
29,755630F,29.6829985,-95.355861,0.49347826086956526,POINT (-95.355861 29.6829985)
30,755640L,29.7661758,-95.3275921,19.258689748811946,POINT (-95.3275921 29.7661758)
31,755709E,29.772885,-95.3125244,8.971492085991024,POINT (-95.3125244 29.772885)
32,755863C,29.891138,-95.3066324,4.617299578059072,POINT (-95.3066324 29.891138)
33,755876D,30.051648,-95.2470334,4.812670427832628,POINT (-95.2470334 30.051648)
34,758656T,29.84082017131322,-95.51529824149128,9.370043370508053,POINT (-95.51529824149128 29.84082017131322)
35,758739G,29.8020963,-95.3426414,25.88939393939394,POINT (-95.3426414 29.8020963)
36,758747Y,29.8341563,-95.3296706,1.4987719298245614,POINT (-95.3296706 29.8341563)
37,758748F,29.8404145,-95.3271471,5.272765246449457,POINT (-95.3271471 29.8404145)
38,758750G,29.8481568,-95.3240078,4.818900343642611,POINT (-95.3240078 29.8481568)
39,758757E,29.8700804,-95.3151602,3.830740740740741,POINT (-95.3151602 29.8700804)
40,758758L,29.8795927,-95.3113047,6.334646739130435,POINT (-95.3113047 29.8795927)
41,849029W,29.5803281,-95.157487,3.680243261012492,POINT (-95.157487 29.5803281)
42,859517C,29.7460144,-95.3419432,5.3129867096442664,POINT (-95.3419432 29.7460144)
43,859523F,29.7421701,-95.3297275,15.945806502901661,POINT (-95.3297275 29.7421701)
44,859550C,29.7092257,-95.278161,6.149945355191257,POINT (-95.278161 29.7092257)
45,859567F,29.69499,-95.264869,4.111666666666666,POINT (-95.264869 29.69499)
46,859568M,29.701049,-95.270535,73.06891025641026,POINT (-95.270535 29.701049)
47,859570N,29.6848594,-95.255417,6.8014492753623195,POINT (-95.255417 29.6848594)
48,859583P,29.6479841,-95.2209575,4.9284,POINT (-95.2209575 29.6479841)
49,859587S,29.637097051557674,-95.21076509255022,4.182070707070707,POINT (-95.21076509255022 29.637097051557674)
50,859592N,29.6226617,-95.1972214,3.7845809341010876,POINT (-95.1972214 29.6226617)
51,859597X,29.60076713562012,-95.17672729492188,3.1371613663133098,POINT (-95.17672729492188 29.60076713562012)
52,859598E,29.59331512451172,-95.16973876953124,3.2847294938917977,POINT (-95.16973876953124 29.59331512451172)
53,859602S,29.5619833,-95.1403852,4.860875160875161,POINT (-95.1403852 29.5619833)
54,900238R,29.5707235,-95.1485639,3.5243055555555554,POINT (-95.1485639 29.5707235)
55,920423P,29.642693,-95.4076962,3.579874213836478,POINT (-95.4076962 29.642693)
